DATE,D,FLAG
2008-01-09,736,Actual
2008-01-16,286,Actual
2008-01-23,331,Actual
2008-01-30,364,Actual
2008-02-06,375,Actual
2008-02-13,296,Actual
2008-02-20,271,Actual
2008-02-27,219,Actual
2008-03-05,217,Actual
2008-03-12,178,Actual
2008-03-19,125,Actual
2008-03-26,134,Actual
2008-04-02,123,Actual
2008-04-09,111,Actual
2008-04-16,133,Actual
2008-04-23,108,Actual
2008-04-30,99,Actual
2008-05-07,80,Actual
2008-05-14,90,Actual
2008-05-21,90,Actual
2008-05-28,138,Actual
2008-06-04,135,Actual
2008-06-11,211,Actual
2008-06-18,272,Actual
2008-06-25,225,Actual
2008-07-02,251,Actual
2008-07-09,304,Actual
2008-07-16,295,Actual
2008-07-23,350,Actual
2008-07-30,420,Actual
2008-08-06,452,Actual
2008-08-13,467,Actual
2008-08-20,472,Actual
2008-08-27,504,Actual
2008-09-03,475,Actual
2008-09-10,413,Actual
2008-09-17,416,Actual
2008-09-24,453,Actual
2008-10-01,391,Actual
2008-10-08,337,Actual
2008-10-15,298,Actual
2008-10-22,313,Actual
2008-10-29,302,Actual
2008-11-05,296,Actual
2008-11-12,327,Actual
2008-11-19,294,Actual
2008-11-26,259,Actual
2008-12-03,258,Actual
2008-12-10,166,Actual
2008-12-17,146,Actual
2008-12-24,93,Actual
2008-12-31,57,Actual
2009-01-07,297,Actual
2009-01-14,192,Actual
2009-01-21,157,Actual
2009-01-28,201,Actual
2009-02-04,157,Actual
2009-02-11,152,Actual
2009-02-18,132,Actual
2009-02-25,144,Actual
2009-03-04,89,Actual
2009-03-11,93,Actual
2009-03-18,107,Actual
2009-03-25,105,Actual
2009-04-01,77,Actual
2009-04-08,65,Actual
2009-04-15,76,Actual
2009-04-22,79,Actual
2009-04-29,63,Actual
2009-05-06,92,Actual
2009-05-13,101,Actual
2009-05-20,137,Actual
2009-05-27,152,Actual
2009-06-03,153,Actual
2009-06-10,217,Actual
2009-06-17,271,Actual
2009-06-24,283,Actual
2009-07-01,290,Actual
2009-07-08,378,Actual
2009-07-15,390,Actual
2009-07-22,356,Actual
2009-07-29,376,Actual
2009-08-05,379,Actual
2009-08-12,368,Actual
2009-08-19,437,Actual
2009-08-26,418,Actual
2009-09-02,444,Actual
2009-09-09,376,Actual
2009-09-16,469,Actual
2009-09-23,405,Actual
2009-09-30,342,Actual
2009-10-07,476,Actual
2009-10-14,435,Actual
2009-10-21,429,Actual
2009-10-28,382,Actual
2009-11-04,251,Actual
2009-11-11,323,Actual
2009-11-18,279,Actual
2009-11-25,223,Actual
2009-12-02,241,Actual
2009-12-09,220,Actual
2009-12-16,238,Actual
2009-12-23,170,Actual
2009-12-30,76,Actual
2010-01-06,97,Actual
2010-01-13,329,Actual
2010-01-20,315,Actual
2010-01-27,210,Actual
2010-02-03,203,Actual
